Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Buck Clayton,Buck_Clayton,http://dbpedia.org/resource/Buck_Clayton,https://linkedjazz.org/image/square/Buck_Clayton.png,Q29,Q32,
Tito Puente,Tito_Puente,http://dbpedia.org/resource/Tito_Puente,https://linkedjazz.org/image/square/Tito_Puente.png,Q29,Q32,
Sam Wooding,Sam_Wooding,http://dbpedia.org/resource/Sam_Wooding,https://linkedjazz.org/image/square/Sam_Wooding.png,Q29,Q32,
Earl Warren,Earl_Warren,http://dbpedia.org/resource/Earle_Warren,https://linkedjazz.org/image/square/Earle_Warren.png,Q29,Q32,
Monte Carlo,Monte_Carlo,http://dbpedia.org/resource/George_Desmond_Hodnett,https://linkedjazz.org/image/square/George_Desmond_Hodnett.png,Q29,Q32,
Marion Hardy,Marion_Hardy,,https://linkedjazz.org/image/square/Marion_Hardy.png,Q29,Q32,
Johnny Dunn,Johnny_Dunn,http://dbpedia.org/resource/Johnny_Dunn,https://linkedjazz.org/image/square/Johnny_Dunn.png,Q29,Q32,
Bobby Cruz,Bobby_Cruz,http://dbpedia.org/resource/Bobby_Cruz,https://linkedjazz.org/image/square/Bobby_Cruz.png,Q29,Q32,
Paul Whiteman,Paul_Whiteman,http://dbpedia.org/resource/Paul_Whiteman,https://linkedjazz.org/image/square/Paul_Whiteman.png,Q29,Q32,
Errol Garner,Errol_Garner,http://dbpedia.org/resource/Errol_Garner,https://linkedjazz.org/image/square/Errol_Garner.png,Q29,Q32,
Chick Webb,Chick_Webb,http://dbpedia.org/resource/Chick_Webb,https://linkedjazz.org/image/square/Chick_Webb.png,Q29,Q32,
Morey Feld,Morey_Feld,http://dbpedia.org/resource/Morey_Feld,https://linkedjazz.org/image/square/Morey_Feld.png,Q29,Q32,
Hank Jones,Hank_Jones,http://dbpedia.org/resource/Hank_Jones,https://linkedjazz.org/image/square/Hank_Jones.png,Q29,Q32,
Jay McShann,Jay_McShann,http://dbpedia.org/resource/Jay_McShann,https://linkedjazz.org/image/square/Jay_McShann.png,Q29,Q32,
Cab Calloway,Cab_Calloway,http://dbpedia.org/resource/Cab_Calloway,https://linkedjazz.org/image/square/Cab_Calloway.png,Q29,Q32,
Freddie Webster,Freddie_Webster,http://dbpedia.org/resource/Freddie_Webster,https://linkedjazz.org/image/square/Freddie_Webster.png,Q29,Q32,
Doc Cheatham,Doc_Cheatham,http://dbpedia.org/resource/Doc_Cheatham,https://linkedjazz.org/image/square/Doc_Cheatham.png,Q29,Q32,
Jon Faddis,Jon_Faddis,http://dbpedia.org/resource/Jon_Faddis,https://linkedjazz.org/image/square/Jon_Faddis.png,Q29,Q32,
Herbert Blue,Herbert_Blue,,https://linkedjazz.org/image/square/Herbert_Blue.png,Q29,Q32,
Sammy Rimington,Sammy_Rimington,http://dbpedia.org/resource/Sammy_Rimington,https://linkedjazz.org/image/square/Sammy_Rimington.png,Q29,Q32,
Ted Lewis,Ted_Lewis,http://dbpedia.org/resource/Ted_Lewis_(musician),https://linkedjazz.org/image/square/Ted_Lewis_(musician).png,Q29,Q32,
Roy Hargrove,Roy_Hargrove,http://dbpedia.org/resource/Roy_Hargrove,https://linkedjazz.org/image/square/Roy_Hargrove.png,Q29,Q32,
Jimmy Cheatham,Jimmy_Cheatham,http://dbpedia.org/resource/Jimmy_Cheatham,https://linkedjazz.org/image/square/Jimmy_Cheatham.png,Q29,Q32,
Roy Roman,Roy_Roman,http://dbpedia.org/resource/Roy_Roman,https://linkedjazz.org/image/square/Roy_Roman.png,Q29,Q32,
Bessie Smith,Bessie_Smith,http://dbpedia.org/resource/Bessie_Smith,https://linkedjazz.org/image/square/Bessie_Smith.png,Q29,Q32,
Louis Aladdin,Louis_Aladdin,,https://linkedjazz.org/image/square/Louis_Aladdin.png,Q29,Q32,
Sweets Edison,Sweets_Edison,http://dbpedia.org/resource/Sweets_Edison,https://linkedjazz.org/image/square/Sweets_Edison.png,Q29,Q32,
King Oliver,King_Oliver,http://dbpedia.org/resource/King_Oliver,https://linkedjazz.org/image/square/King_Oliver.png,Q29,Q32,
